[2025-03-03 09:34:04,984] DEBUG: Using proactor: IocpProactor
[2025-03-03 09:34:26,067] INFO: Data inserted for Inverter ID: 1308675217948089891
[2025-03-03 09:34:26,155] INFO: Data inserted for Inverter ID: 1308675217948089850
[2025-03-03 09:34:26,228] INFO: Data inserted for Inverter ID: 1308675217948089885
[2025-03-03 09:34:26,341] INFO: Data inserted for Inverter ID: 1308675217948089893
[2025-03-03 09:34:26,421] INFO: Data inserted for Inverter ID: 1308675217948089809
[2025-03-03 09:34:26,512] INFO: Data inserted for Inverter ID: 1308675217948089890
[2025-03-03 09:34:26,613] INFO: Data inserted for Inverter ID: 1308675217948089849
[2025-03-03 09:34:26,746] INFO: Data inserted for Inverter ID: 1308675217948089842
[2025-03-03 09:34:26,823] INFO: Data inserted for Inverter ID: 1308675217948089808
[2025-03-03 09:34:26,925] INFO: Data inserted for Inverter ID: 1308675217948089888
[2025-03-03 09:34:27,009] INFO: Data inserted for Inverter ID: 1308675217948089810
[2025-03-03 09:34:27,090] INFO: Data inserted for Inverter ID: 1308675217948089811
[2025-03-03 09:34:27,174] INFO: Data inserted for Inverter ID: 1308675217948089845
[2025-03-03 09:34:27,289] INFO: Data inserted for Inverter ID: 1308675217948069436
[2025-03-03 09:34:27,370] INFO: Data inserted for Inverter ID: 1308675217947758262
[2025-03-03 09:34:27,451] INFO: Data inserted for Inverter ID: 1308675217947758269
[2025-03-03 09:34:27,539] INFO: Data inserted for Inverter ID: 1308675217947758275
[2025-03-03 09:34:27,623] INFO: Data inserted for Inverter ID: 1308675217947758265
[2025-03-03 09:34:27,697] INFO: Data inserted for Inverter ID: 1308675217947758290
[2025-03-03 09:34:27,816] INFO: Data inserted for Inverter ID: 1308675217947758270
[2025-03-03 09:34:27,908] INFO: Data inserted for Inverter ID: 1308675217947758288
[2025-03-03 09:34:27,998] INFO: Data inserted for Inverter ID: 1308675217947683161
[2025-03-03 09:34:28,074] INFO: Data inserted for Inverter ID: 1308675217947683068
[2025-03-03 09:34:28,189] INFO: Data inserted for Inverter ID: 1308675217947683094
[2025-03-03 09:34:28,265] INFO: Data inserted for Inverter ID: 1308675217947683155
[2025-03-03 09:34:28,349] INFO: Data inserted for Inverter ID: 1308675217947683160
[2025-03-03 09:34:28,425] INFO: Data inserted for Inverter ID: 1308675217947683108
[2025-03-03 09:34:28,499] INFO: Data inserted for Inverter ID: 1308675217947683009
[2025-03-03 09:34:28,574] INFO: Data inserted for Inverter ID: 1308675217947683019
[2025-03-03 09:34:28,649] INFO: Data inserted for Inverter ID: 1308675217947683017
[2025-03-03 09:34:28,725] INFO: Data inserted for Inverter ID: 1308675217947683007
[2025-03-03 09:34:28,804] INFO: Data inserted for Inverter ID: 1308675217947683008
[2025-03-03 09:34:28,876] INFO: Data inserted for Inverter ID: 1308675217947683006
[2025-03-03 11:10:27,420] DEBUG: Using proactor: IocpProactor
[2025-03-03 11:25:43,721] DEBUG: Using proactor: IocpProactor
[2025-03-03 11:25:43,722] INFO: \U0001f4c4 Fetching Page 1...
[2025-03-03 11:25:53,732] ERROR: \u23f0 Timeout Error on Page 1 | Retry 1/3
[2025-03-03 11:25:58,749] INFO: \U0001f501 Retrying...
[2025-03-03 11:25:58,750] INFO: \U0001f4c4 Fetching Page 1...
[2025-03-03 11:26:02,119] INFO: \u2705 Found 100 Inverters on Page 1
[2025-03-03 11:26:02,334] INFO: Data inserted for Inverter ID: 1308675217949274556
[2025-03-03 11:26:02,376] INFO: Data inserted for Inverter ID: 1308675217949274394
[2025-03-03 11:26:02,410] INFO: Data inserted for Inverter ID: 1308675217949178542
[2025-03-03 11:26:02,461] INFO: Data inserted for Inverter ID: 1308675217949177663
[2025-03-03 11:26:02,503] INFO: Data inserted for Inverter ID: 1308675217949177216
[2025-03-03 11:26:02,541] INFO: Data inserted for Inverter ID: 1308675217949176612
[2025-03-03 11:26:02,576] INFO: Data inserted for Inverter ID: 1308675217949173066
[2025-03-03 11:26:02,610] INFO: Data inserted for Inverter ID: 1308675217949172239
[2025-03-03 11:26:02,651] INFO: Data inserted for Inverter ID: 1308675217948814708
[2025-03-03 11:26:02,684] INFO: Data inserted for Inverter ID: 1308675217948808778
[2025-03-03 11:26:02,742] INFO: Data inserted for Inverter ID: 1308675217948606113
[2025-03-03 11:26:02,782] INFO: Data inserted for Inverter ID: 1308675217948606118
[2025-03-03 11:26:02,821] INFO: Data inserted for Inverter ID: 1308675217948606116
[2025-03-03 11:26:02,858] INFO: Data inserted for Inverter ID: 1308675217948606115
[2025-03-03 11:26:02,893] INFO: Data inserted for Inverter ID: 1308675217948606110
[2025-03-03 11:26:02,932] INFO: Data inserted for Inverter ID: 1308675217948606117
[2025-03-03 11:26:02,962] INFO: Data inserted for Inverter ID: 1308675217948606109
[2025-03-03 11:26:03,006] INFO: Data inserted for Inverter ID: 1308675217948606104
[2025-03-03 11:26:03,046] INFO: Data inserted for Inverter ID: 1308675217948606080
[2025-03-03 11:26:03,083] INFO: Data inserted for Inverter ID: 1308675217948606089
[2025-03-03 11:26:03,124] INFO: Data inserted for Inverter ID: 1308675217948606105
[2025-03-03 11:26:03,165] INFO: Data inserted for Inverter ID: 1308675217948606099
[2025-03-03 11:26:03,199] INFO: Data inserted for Inverter ID: 1308675217948606084
[2025-03-03 11:26:03,240] INFO: Data inserted for Inverter ID: 1308675217948606090
[2025-03-03 11:26:03,277] INFO: Data inserted for Inverter ID: 1308675217948370983
[2025-03-03 11:26:03,314] INFO: Data inserted for Inverter ID: 1308675217948334732
